,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
14804,1988-03-03,United Arab Emirates,Bahrain,2,0,Gulf Cup,Riyadh,Saudi Arabia,True
14805,1988-03-04,Iraq,Oman,1,1,Gulf Cup,Riyadh,Saudi Arabia,True
14806,1988-03-05,Kuwait,United Arab Emirates,0,1,Gulf Cup,Riyadh,Saudi Arabia,True
14807,1988-03-05,Saudi Arabia,Qatar,0,0,Gulf Cup,Riyadh,Saudi Arabia,False
14808,1988-03-06,Dominica,Antigua and Barbuda,0,0,CFU Caribbean Cup qualification,Roseau,Dominica,False
14809,1988-03-07,Oman,Bahrain,0,2,Gulf Cup,Riyadh,Saudi Arabia,True
14810,1988-03-08,Iraq,Kuwait,1,0,Gulf Cup,Riyadh,Saudi Arabia,True
14811,1988-03-08,Qatar,United Arab Emirates,2,1,Gulf Cup,Riyadh,Saudi Arabia,True
14812,1988-03-09,Saudi Arabia,Bahrain,1,0,Gulf Cup,Riyadh,Saudi Arabia,False
14814,1988-03-10,Oman,Qatar,2,1,Gulf Cup,Riyadh,Saudi Arabia,True
14815,1988-03-10,United Arab Emirates,Iraq,0,0,Gulf Cup,Riyadh,Saudi Arabia,True
14816,1988-03-11,Guadeloupe,Suriname,0,2,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
14817,1988-03-12,Kuwait,Bahrain,0,1,Gulf Cup,Riyadh,Saudi Arabia,True
14818,1988-03-13,Algeria,Ivory Coast,1,1,African Cup of Nations,Casablanca,Morocco,True
14820,1988-03-13,Morocco,DR Congo,1,1,African Cup of Nations,Casablanca,Morocco,False
14821,1988-03-13,Qatar,Iraq,0,3,Gulf Cup,Riyadh,Saudi Arabia,True
14822,1988-03-13,Saudi Arabia,United Arab Emirates,2,2,Gulf Cup,Riyadh,Saudi Arabia,False
14823,1988-03-14,Cameroon,Egypt,1,0,African Cup of Nations,Rabat,Morocco,True
14824,1988-03-14,Kenya,Nigeria,0,3,African Cup of Nations,Rabat,Morocco,True
14825,1988-03-14,Oman,Kuwait,0,2,Gulf Cup,Riyadh,Saudi Arabia,True
14826,1988-03-16,Bahrain,Qatar,1,0,Gulf Cup,Riyadh,Saudi Arabia,True
14829,1988-03-16,Ivory Coast,DR Congo,1,1,African Cup of Nations,Casablanca,Morocco,True
14830,1988-03-16,Morocco,Algeria,1,0,African Cup of Nations,Casablanca,Morocco,False
14831,1988-03-16,Saudi Arabia,Iraq,0,2,Gulf Cup,Riyadh,Saudi Arabia,False
14832,1988-03-17,Cameroon,Nigeria,1,1,African Cup of Nations,Rabat,Morocco,True
14833,1988-03-17,Egypt,Kenya,3,0,African Cup of Nations,Rabat,Morocco,True
14834,1988-03-17,United Arab Emirates,Oman,1,0,Gulf Cup,Riyadh,Saudi Arabia,True
14835,1988-03-18,Bahrain,Iraq,0,1,Gulf Cup,Riyadh,Saudi Arabia,True
14837,1988-03-18,Saudi Arabia,Kuwait,0,0,Gulf Cup,Riyadh,Saudi Arabia,False
14838,1988-03-19,Algeria,DR Congo,1,0,African Cup of Nations,Casablanca,Morocco,True
14839,1988-03-19,Morocco,Ivory Coast,0,0,African Cup of Nations,Casablanca,Morocco,False
14840,1988-03-20,Antigua and Barbuda,Dominica,2,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
14841,1988-03-20,Cameroon,Kenya,0,0,African Cup of Nations,Rabat,Morocco,True
14842,1988-03-20,Egypt,Nigeria,0,0,African Cup of Nations,Rabat,Morocco,True
14844,1988-03-23,Algeria,Nigeria,1,1,African Cup of Nations,Rabat,Morocco,True
14850,1988-03-23,Morocco,Cameroon,0,1,African Cup of Nations,Casablanca,Morocco,False
14854,1988-03-26,Morocco,Algeria,1,1,African Cup of Nations,Casablanca,Morocco,False
14856,1988-03-27,Cameroon,Nigeria,1,0,African Cup of Nations,Casablanca,Morocco,True
14868,1988-04-07,Malaysia,Pakistan,4,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
14869,1988-04-08,Kuwait,Japan,1,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
14871,1988-04-10,Jordan,Pakistan,1,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
14872,1988-04-11,Malaysia,Japan,0,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
14873,1988-04-12,Kuwait,Jordan,0,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
14875,1988-04-14,Malaysia,Jordan,0,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
14876,1988-04-15,Kuwait,Pakistan,3,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
14877,1988-04-16,Japan,Jordan,1,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
14878,1988-04-17,Guyana,Trinidad and Tobago,0,4,FIFA World Cup qualification,Georgetown,Guyana,False
14879,1988-04-18,Japan,Pakistan,4,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
14880,1988-04-18,Malaysia,Kuwait,0,5,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
14881,1988-04-19,Guadeloupe,Suriname,1,1,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
14893,1988-04-28,Gambia,Senegal,0,4,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14894,1988-04-28,Guinea-Bissau,Sierra Leone,0,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
14895,1988-04-29,Cape Verde,Mali,1,3,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14896,1988-04-29,Guinea,Mauritania,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14897,1988-04-30,Cuba,Guatemala,0,1,FIFA World Cup qualification,Havana,Cuba,False
14898,1988-04-30,Gambia,Sierra Leone,1,3,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14899,1988-04-30,Guinea-Bissau,Senegal,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
14900,1988-05-01,Cape Verde,Mauritania,3,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14901,1988-05-01,Guinea,Mali,1,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14902,1988-05-02,Guinea-Bissau,Gambia,3,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
14903,1988-05-02,Senegal,Sierra Leone,2,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14904,1988-05-03,Cape Verde,Guinea,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14905,1988-05-03,Mali,Mauritania,2,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14907,1988-05-05,Guinea,Sierra Leone,3,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14908,1988-05-05,Mali,Senegal,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14909,1988-05-07,Senegal,Sierra Leone,2,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14911,1988-05-08,Guinea,Mali,0,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
14912,1988-05-08,Trinidad and Tobago,Guyana,1,0,FIFA World Cup qualification,San Fernando,Trinidad and Tobago,False
14915,1988-05-12,Jamaica,Puerto Rico,1,0,FIFA World Cup qualification,Kingston,Jamaica,False
14917,1988-05-15,Guatemala,Cuba,1,1,FIFA World Cup qualification,San Marcos,Guatemala,False
14920,1988-05-17,Scotland,Colombia,0,0,Rous Cup,Glasgow,Scotland,False
14924,1988-05-21,England,Scotland,1,0,Rous Cup,London,England,False
14925,1988-05-21,Northern Ireland,Malta,3,0,FIFA World Cup qualification,Belfast,Northern Ireland,False
14928,1988-05-24,England,Colombia,1,1,Rous Cup,London,England,False
14932,1988-05-25,Nepal,Hong Kong,0,0,AFC Asian Cup qualification,Kathmandu,Nepal,False
14933,1988-05-26,Syria,North Korea,2,1,AFC Asian Cup qualification,Kathmandu,Nepal,True
14934,1988-05-27,Iran,Hong Kong,2,0,AFC Asian Cup qualification,Kathmandu,Nepal,True
14936,1988-05-28,Nepal,North Korea,0,1,AFC Asian Cup qualification,Kathmandu,Nepal,False
14938,1988-05-29,Puerto Rico,Jamaica,1,2,FIFA World Cup qualification,San Juan,Puerto Rico,False
14939,1988-05-29,Syria,Iran,1,1,AFC Asian Cup qualification,Kathmandu,Nepal,True
14940,1988-05-31,North Korea,Hong Kong,1,0,AFC Asian Cup qualification,Kathmandu,Nepal,True
14943,1988-06-01,Nepal,Syria,0,3,AFC Asian Cup qualification,Kathmandu,Nepal,False
14949,1988-06-02,Iran,North Korea,0,0,AFC Asian Cup qualification,Kathmandu,Nepal,True
14950,1988-06-02,Japan,China PR,0,3,Kirin Cup,Nagoya,Japan,False
14951,1988-06-03,Libya,Burkina Faso,3,0,FIFA World Cup qualification,Tripoli,Libya,False
14952,1988-06-03,Syria,Hong Kong,2,0,AFC Asian Cup qualification,Kathmandu,Nepal,True
14956,1988-06-04,Nepal,Iran,0,3,AFC Asian Cup qualification,Kathmandu,Nepal,False
14963,1988-06-10,Germany,Italy,1,1,UEFA Euro,Düsseldorf,Germany,False
14966,1988-06-11,Denmark,Spain,2,3,UEFA Euro,Hanover,Germany,True
14967,1988-06-12,England,Republic of Ireland,0,1,UEFA Euro,Stuttgart,Germany,True
14968,1988-06-12,Netherlands,Russia,0,1,UEFA Euro,Cologne,Germany,True
14970,1988-06-14,Germany,Denmark,2,0,UEFA Euro,Gelsenkirchen,Germany,False
14971,1988-06-14,Italy,Spain,1,0,UEFA Euro,Frankfurt am Main,Germany,True
14974,1988-06-15,England,Netherlands,1,3,UEFA Euro,Düsseldorf,Germany,True
14976,1988-06-15,Republic of Ireland,Russia,1,1,UEFA Euro,Hanover,Germany,True
14977,1988-06-17,Bahrain,South Korea,2,0,AFC Asian Cup qualification,Jakarta,Indonesia,True
14979,1988-06-17,Germany,Spain,2,0,UEFA Euro,Munich,Germany,False
14981,1988-06-17,Indonesia,Yemen DPR,1,0,AFC Asian Cup qualification,Jakarta,Indonesia,False
14982,1988-06-17,Italy,Denmark,2,0,UEFA Euro,Cologne,Germany,True
14983,1988-06-18,England,Russia,1,3,UEFA Euro,Frankfurt am Main,Germany,True
14984,1988-06-18,Republic of Ireland,Netherlands,0,1,UEFA Euro,Gelsenkirchen,Germany,True
14985,1988-06-19,Antigua and Barbuda,Curaçao,0,1,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False
14986,1988-06-19,Indonesia,Bahrain,0,0,AFC Asian Cup qualification,Jakarta,Indonesia,False
14987,1988-06-19,South Korea,Zambia,4,0,Korea Cup,Suwon,South Korea,False
14988,1988-06-19,South Korea,Yemen DPR,1,1,AFC Asian Cup qualification,Jakarta,Indonesia,True
14989,1988-06-21,Germany,Netherlands,1,2,UEFA Euro,Hamburg,Germany,False
14991,1988-06-22,Bahrain,Yemen DPR,2,0,AFC Asian Cup qualification,Jakarta,Indonesia,True
14992,1988-06-22,Indonesia,South Korea,0,4,AFC Asian Cup qualification,Jakarta,Indonesia,False
14993,1988-06-22,Russia,Italy,2,0,UEFA Euro,Stuttgart,Germany,True
14995,1988-06-25,Russia,Netherlands,0,2,UEFA Euro,Munich,Germany,True
14999,1988-07-03,Burkina Faso,Libya,2,0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False
15001,1988-07-05,Guadeloupe,Trinidad and Tobago,0,3,CFU Caribbean Cup,Fort-de-France,Martinique,True
15002,1988-07-05,Martinique,Antigua and Barbuda,2,2,CFU Caribbean Cup,Fort-de-France,Martinique,False
15005,1988-07-07,Antigua and Barbuda,Trinidad and Tobago,1,1,CFU Caribbean Cup,Fort-de-France,Martinique,True
15007,1988-07-07,Martinique,Guadeloupe,2,1,CFU Caribbean Cup,Fort-de-France,Martinique,False
15008,1988-07-08,Algeria,Syria,1,1,UAFA Cup,Amman,Jordan,True
15009,1988-07-08,Jordan,Bahrain,0,0,UAFA Cup,Amman,Jordan,False
15011,1988-07-09,Antigua and Barbuda,Guadeloupe,0,0,CFU Caribbean Cup,Fort-de-France,Martinique,True
15013,1988-07-09,Egypt,Saudi Arabia,0,0,UAFA Cup,Amman,Jordan,True
15014,1988-07-09,Iraq,Tunisia,1,1,UAFA Cup,Amman,Jordan,True
15015,1988-07-09,Martinique,Trinidad and Tobago,0,3,CFU Caribbean Cup,Fort-de-France,Martinique,False
15016,1988-07-10,Algeria,Bahrain,0,0,UAFA Cup,Amman,Jordan,True
15018,1988-07-10,Jordan,Kuwait,0,1,UAFA Cup,Amman,Jordan,False
15020,1988-07-11,Iraq,Lebanon,0,0,UAFA Cup,Amman,Jordan,True
15021,1988-07-11,Saudi Arabia,Tunisia,1,1,UAFA Cup,Amman,Jordan,True
15022,1988-07-12,Algeria,Kuwait,1,0,UAFA Cup,Amman,Jordan,True
15023,1988-07-12,Bahrain,Syria,1,2,UAFA Cup,Amman,Jordan,True
15025,1988-07-13,Egypt,Tunisia,1,0,UAFA Cup,Amman,Jordan,True
15026,1988-07-13,Lebanon,Saudi Arabia,1,0,UAFA Cup,Amman,Jordan,True
15028,1988-07-14,Jordan,Algeria,2,1,UAFA Cup,Amman,Jordan,False
15029,1988-07-14,Kuwait,Syria,0,1,UAFA Cup,Amman,Jordan,True
15031,1988-07-15,Egypt,Lebanon,3,0,UAFA Cup,Amman,Jordan,True
15032,1988-07-15,Iraq,Saudi Arabia,2,0,UAFA Cup,Amman,Jordan,True
15034,1988-07-16,Bahrain,Kuwait,1,1,UAFA Cup,Amman,Jordan,True
15035,1988-07-16,Jordan,Syria,2,0,UAFA Cup,Amman,Jordan,False
15036,1988-07-16,Uganda,Malawi,1,0,FIFA World Cup qualification,Kampala,Uganda,False
15038,1988-07-17,Costa Rica,Panama,1,1,FIFA World Cup qualification,Alajuela,Costa Rica,False
15039,1988-07-17,Egypt,Iraq,0,0,UAFA Cup,Amman,Jordan,True
15040,1988-07-17,Lebanon,Tunisia,1,1,UAFA Cup,Amman,Jordan,True
15041,1988-07-19,Egypt,Syria,0,0,UAFA Cup,Amman,Jordan,True
15042,1988-07-19,Jordan,Iraq,0,3,UAFA Cup,Amman,Jordan,False
15043,1988-07-21,Iraq,Syria,1,1,UAFA Cup,Amman,Jordan,True
15044,1988-07-21,Jordan,Egypt,0,2,UAFA Cup,Amman,Jordan,False
15046,1988-07-24,Jamaica,United States,0,0,FIFA World Cup qualification,Kingston,Jamaica,False
15052,1988-07-29,Curaçao,Antigua and Barbuda,3,1,FIFA World Cup qualification,Willemstad,Netherlands Antilles,True
15054,1988-07-30,Malawi,Uganda,3,1,FIFA World Cup qualification,Lilongwe,Malawi,False
15057,1988-07-31,Panama,Costa Rica,0,2,FIFA World Cup qualification,Panama City,Panama,False
15067,1988-08-05,Indonesia,Thailand,1,0,Indonesia Tournament,Jakarta,Indonesia,False
15068,1988-08-05,Tunisia,Guinea,5,0,FIFA World Cup qualification,Tunis,Tunisia,False
15070,1988-08-07,Angola,Sudan,0,0,FIFA World Cup qualification,Luanda,Angola,False
15072,1988-08-07,Ghana,Liberia,0,0,FIFA World Cup qualification,Accra,Ghana,False
15075,1988-08-13,United States,Jamaica,5,1,FIFA World Cup qualification,St. Louis,United States,False
15077,1988-08-21,Guinea,Tunisia,3,0,FIFA World Cup qualification,Conakry,Guinea,False
15078,1988-08-21,Liberia,Ghana,2,0,FIFA World Cup qualification,Monrovia,Liberia,False
15084,1988-08-31,Finland,Germany,0,4,FIFA World Cup qualification,Helsinki,Finland,False
15086,1988-08-31,Iceland,Russia,1,1,FIFA World Cup qualification,Reykjavík,Iceland,False
15092,1988-09-14,Netherlands,Wales,1,0,FIFA World Cup qualification,Amsterdam,Netherlands,False
15093,1988-09-14,Northern Ireland,Republic of Ireland,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,False
15094,1988-09-14,Norway,Scotland,1,2,FIFA World Cup qualification,Oslo,Norway,False
15097,1988-09-15,Saudi Arabia,Iran,1,0,AFC Asian Cup,Doha,Qatar,True
15103,1988-09-21,Luxembourg,Switzerland,1,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False
15112,1988-09-28,France,Norway,1,0,FIFA World Cup qualification,Paris,France,False
15116,1988-10-01,Curaçao,El Salvador,0,1,FIFA World Cup qualification,Willemstad,Netherlands Antilles,True
15118,1988-10-02,Liberia,Mali,0,1,African Cup of Nations qualification,Monrovia,Liberia,False
15119,1988-10-02,Mauritius,Seychelles,3,0,African Cup of Nations qualification,Curepipe,Mauritius,False
15122,1988-10-09,Gabon,Burkina Faso,3,0,African Cup of Nations qualification,Libreville,Gabon,False
15123,1988-10-09,Guatemala,Canada,1,0,FIFA World Cup qualification,Guatemala,Guatemala,False
15130,1988-10-12,Turkey,Iceland,1,1,FIFA World Cup qualification,Istanbul,Turkey,False
15132,1988-10-15,Canada,Guatemala,3,2,FIFA World Cup qualification,Burnaby,Canada,False
15134,1988-10-16,El Salvador,Curaçao,5,0,FIFA World Cup qualification,San Salvador,El Salvador,False
15135,1988-10-16,Equatorial Guinea,Angola,0,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,False
15136,1988-10-16,Mali,Liberia,3,0,African Cup of Nations qualification,Bamako,Mali,False
15137,1988-10-16,Eswatini,Tanzania,1,1,African Cup of Nations qualification,Mbabane,Eswatini,False
15139,1988-10-18,Luxembourg,Czechoslovakia,0,2,FIFA World Cup qualification,Esch-sur-Alzette,Luxembourg,False
15140,1988-10-19,Belgium,Switzerland,1,0,FIFA World Cup qualification,Brussels,Belgium,False
15141,1988-10-19,Bulgaria,Romania,1,3,FIFA World Cup qualification,Sofia,Bulgaria,False
15142,1988-10-19,England,Sweden,0,0,FIFA World Cup qualification,London,England,False
15143,1988-10-19,German DR,Iceland,2,0,FIFA World Cup qualification,Berlin,German DR,False
15144,1988-10-19,Germany,Netherlands,0,0,FIFA World Cup qualification,Munich,Germany,False
15145,1988-10-19,Greece,Denmark,1,1,FIFA World Cup qualification,Athens,Greece,False
15146,1988-10-19,Hungary,Northern Ireland,1,0,FIFA World Cup qualification,Budapest,Hungary,False
15149,1988-10-19,Poland,Albania,1,0,FIFA World Cup qualification,Chorzów,Poland,False
15150,1988-10-19,Russia,Austria,2,0,FIFA World Cup qualification,Kyïv,Soviet Union,True
15151,1988-10-19,Scotland,Yugoslavia,1,1,FIFA World Cup qualification,Glasgow,Scotland,False
15152,1988-10-19,Wales,Finland,2,2,FIFA World Cup qualification,Swansea,Wales,False
15154,1988-10-22,Cyprus,France,1,1,FIFA World Cup qualification,Nicosia,Cyprus,False
15155,1988-10-23,Burkina Faso,Gabon,1,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
15159,1988-10-25,Chile,Peru,2,0,Copa del Pacífico,Arica,Chile,False
15166,1988-10-30,Trinidad and Tobago,Honduras,0,0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False
15167,1988-11-01,Chile,Uruguay,1,1,Copa Juan Pinto Durán,Concepción,Chile,False
15168,1988-11-02,Austria,Turkey,3,2,FIFA World Cup qualification,Vienna,Austria,False
15169,1988-11-02,Cyprus,Norway,0,3,FIFA World Cup qualification,Limassol,Cyprus,False
15170,1988-11-02,Denmark,Bulgaria,1,1,FIFA World Cup qualification,Copenhagen,Denmark,False
15171,1988-11-02,Romania,Greece,3,0,FIFA World Cup qualification,Bucharest,Romania,False
15174,1988-11-05,Albania,Sweden,1,2,FIFA World Cup qualification,Tirana,Albania,False
15175,1988-11-06,Ethiopia,Zambia,0,0,CECAFA Cup,Blantyre,Malawi,True
15177,1988-11-06,Malawi,Tanzania,0,0,CECAFA Cup,Lilongwe,Malawi,False
15178,1988-11-08,Kenya,Zanzibar,2,0,CECAFA Cup,Lilongwe,Malawi,True
15180,1988-11-08,Uganda,Zimbabwe,0,0,CECAFA Cup,Blantyre,Malawi,True
15183,1988-11-09,Uruguay,Chile,3,1,Copa Juan Pinto Durán,Montevideo,Uruguay,False
15184,1988-11-10,Kenya,Tanzania,2,0,CECAFA Cup,Lilongwe,Malawi,True
15185,1988-11-10,Malawi,Zanzibar,1,0,CECAFA Cup,Lilongwe,Malawi,False
15186,1988-11-11,Ethiopia,Uganda,2,1,CECAFA Cup,Blantyre,Malawi,True
15187,1988-11-11,Sudan,Angola,1,2,FIFA World Cup qualification,Khartoum,Sudan,False
15188,1988-11-11,Zambia,Zimbabwe,1,1,CECAFA Cup,Blantyre,Malawi,True
15189,1988-11-12,Malawi,Kenya,3,0,CECAFA Cup,Lilongwe,Malawi,False
15190,1988-11-12,Tanzania,Zanzibar,0,1,CECAFA Cup,Lilongwe,Malawi,True
15193,1988-11-13,Ethiopia,Zimbabwe,1,2,CECAFA Cup,Blantyre,Malawi,True
15194,1988-11-13,Honduras,Trinidad and Tobago,1,1,FIFA World Cup qualification,Tegucigalpa,Honduras,False
15195,1988-11-13,Uganda,Zambia,0,3,CECAFA Cup,Blantyre,Malawi,True
15199,1988-11-16,Czechoslovakia,Belgium,0,0,FIFA World Cup qualification,Bratislava,Czechoslovakia,False
15202,1988-11-16,Portugal,Luxembourg,1,0,FIFA World Cup qualification,Porto,Portugal,False
15204,1988-11-16,Spain,Republic of Ireland,2,0,FIFA World Cup qualification,Seville,Spain,False
15207,1988-11-17,Kenya,Zambia,0,1,CECAFA Cup,Blantyre,Malawi,True
15212,1988-11-19,Kenya,Zimbabwe,0,0,CECAFA Cup,Blantyre,Malawi,True
15213,1988-11-19,Malawi,Zambia,3,1,CECAFA Cup,Blantyre,Malawi,False
15214,1988-11-19,Yugoslavia,France,3,2,FIFA World Cup qualification,Belgrade,Yugoslavia,False
15219,1988-11-23,Peru,Chile,1,1,Copa del Pacífico,Lima,Peru,False
15223,1988-11-26,Fiji,Australia,1,0,FIFA World Cup qualification,Nadi,Fiji,False
15228,1988-11-30,Cameroon,Gabon,0,0,UDEAC Cup,Douala,Cameroon,False
15229,1988-11-30,Congo,Chad,2,1,UDEAC Cup,Douala,Cameroon,True
15230,1988-11-30,Turkey,German DR,3,1,FIFA World Cup qualification,Istanbul,Turkey,False
15231,1988-12-02,Cameroon,Equatorial Guinea,2,1,UDEAC Cup,Douala,Cameroon,False
15232,1988-12-02,Central African Republic,Chad,2,1,UDEAC Cup,Douala,Cameroon,True
15233,1988-12-02,Qatar,Iran,0,2,AFC Asian Cup,Doha,Qatar,False
15234,1988-12-02,Syria,Saudi Arabia,0,2,AFC Asian Cup,Doha,Qatar,True
15235,1988-12-03,Australia,Fiji,5,1,FIFA World Cup qualification,Speers Point,Australia,False
15236,1988-12-03,Kuwait,Bahrain,0,0,AFC Asian Cup,Doha,Qatar,True
15237,1988-12-03,United Arab Emirates,South Korea,0,1,AFC Asian Cup,Doha,Qatar,True
15238,1988-12-04,Central African Republic,Congo,0,1,UDEAC Cup,Douala,Cameroon,True
15239,1988-12-04,China PR,Syria,3,0,AFC Asian Cup,Doha,Qatar,True
15240,1988-12-04,Equatorial Guinea,Gabon,0,3,UDEAC Cup,Douala,Cameroon,True
15241,1988-12-04,Japan,Iran,0,0,AFC Asian Cup,Doha,Qatar,True
15242,1988-12-05,Qatar,United Arab Emirates,2,1,AFC Asian Cup,Doha,Qatar,False
15243,1988-12-05,Saudi Arabia,Kuwait,0,0,AFC Asian Cup,Doha,Qatar,True
15244,1988-12-06,Bahrain,China PR,0,1,AFC Asian Cup,Doha,Qatar,True
15245,1988-12-06,Cameroon,Congo,2,0,UDEAC Cup,Douala,Cameroon,False
15246,1988-12-06,Central African Republic,Gabon,0,0,UDEAC Cup,Douala,Cameroon,True
15247,1988-12-06,South Korea,Japan,2,0,AFC Asian Cup,Doha,Qatar,True
15249,1988-12-08,Cameroon,Gabon,0,1,UDEAC Cup,Douala,Cameroon,False
15250,1988-12-08,Central African Republic,Congo,0,3,UDEAC Cup,Douala,Cameroon,True
15251,1988-12-08,Iran,United Arab Emirates,1,0,AFC Asian Cup,Doha,Qatar,True
15252,1988-12-08,Malaysia,Indonesia,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
15253,1988-12-08,Syria,Kuwait,1,0,AFC Asian Cup,Doha,Qatar,True
15254,1988-12-09,Oman,Singapore,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
15255,1988-12-09,Qatar,South Korea,2,3,AFC Asian Cup,Doha,Qatar,False
15256,1988-12-09,Saudi Arabia,Bahrain,1,1,AFC Asian Cup,Doha,Qatar,True
15258,1988-12-10,Kuwait,China PR,2,2,AFC Asian Cup,Doha,Qatar,True
15259,1988-12-10,Malaysia,Thailand,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
15260,1988-12-10,United Arab Emirates,Japan,1,0,AFC Asian Cup,Doha,Qatar,True
15261,1988-12-11,Bahrain,Syria,0,1,AFC Asian Cup,Doha,Qatar,True
15262,1988-12-11,South Korea,Iran,3,0,AFC Asian Cup,Doha,Qatar,True
15263,1988-12-11,Malta,Hungary,2,2,FIFA World Cup qualification,Attard,Malta,False
15264,1988-12-11,Yugoslavia,Cyprus,4,0,FIFA World Cup qualification,Belgrade,Yugoslavia,False
15265,1988-12-12,China PR,Saudi Arabia,0,1,AFC Asian Cup,Doha,Qatar,True
15266,1988-12-12,Indonesia,Thailand,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
15267,1988-12-12,Qatar,Japan,3,0,AFC Asian Cup,Doha,Qatar,False
15269,1988-12-14,South Korea,China PR,2,1,AFC Asian Cup,Doha,Qatar,True
15272,1988-12-15,New Zealand,Chinese Taipei,4,1,FIFA World Cup qualification,Auckland,New Zealand,False
15273,1988-12-17,China PR,Iran,0,0,AFC Asian Cup,Doha,Qatar,True
15275,1988-12-18,South Korea,Saudi Arabia,0,0,AFC Asian Cup,Doha,Qatar,True
15278,1988-12-21,Spain,Northern Ireland,4,0,FIFA World Cup qualification,Seville,Spain,False
15283,1989-01-06,Algeria,Zimbabwe,3,0,FIFA World Cup qualification,Annaba,Algeria,False
15284,1989-01-06,Egypt,Liberia,2,0,FIFA World Cup qualification,Cairo,Egypt,False
15285,1989-01-06,Oman,Iraq,1,1,FIFA World Cup qualification,Muscat,Oman,False
15286,1989-01-06,Pakistan,Kuwait,0,1,FIFA World Cup qualification,Islamabad,Pakistan,False
15287,1989-01-06,Qatar,Jordan,1,0,FIFA World Cup qualification,Doha,Qatar,False
15288,1989-01-07,Kenya,Malawi,1,1,FIFA World Cup qualification,Nairobi,Kenya,False
15289,1989-01-07,Nigeria,Gabon,1,0,FIFA World Cup qualification,Enugu,Nigeria,False
15290,1989-01-08,Cameroon,Angola,1,1,FIFA World Cup qualification,Yaoundé,Cameroon,False
15291,1989-01-08,DR Congo,Tunisia,3,1,FIFA World Cup qualification,Kinshasa,Zaïre,False
15292,1989-01-08,Ivory Coast,Libya,1,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
15293,1989-01-08,Morocco,Zambia,1,0,FIFA World Cup qualification,Rabat,Morocco,False
15297,1989-01-13,Jordan,Iraq,0,1,FIFA World Cup qualification,Amman,Jordan,False
15298,1989-01-13,Kuwait,United Arab Emirates,3,2,FIFA World Cup qualification,Kuwait City,Kuwait,False
15299,1989-01-13,Oman,Qatar,0,0,FIFA World Cup qualification,Muscat,Oman,False
15302,1989-01-20,Jordan,Oman,2,0,FIFA World Cup qualification,Amman,Jordan,False
15303,1989-01-20,Qatar,Iraq,1,0,FIFA World Cup qualification,Doha,Qatar,False
15304,1989-01-20,United Arab Emirates,Pakistan,5,0,FIFA World Cup qualification,Sharjah,United Arab Emirates,False
15305,1989-01-21,Malawi,Egypt,1,1,FIFA World Cup qualification,Lilongwe,Malawi,False
15306,1989-01-22,Angola,Nigeria,2,2,FIFA World Cup qualification,Luanda,Angola,False
15307,1989-01-22,Gabon,Cameroon,1,3,FIFA World Cup qualification,Libreville,Gabon,False
