,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
40427,2019-03-21,Netherlands,Belarus,4,0,UEFA Euro qualification,Rotterdam,Netherlands,False
40428,2019-03-21,Croatia,Azerbaijan,2,1,UEFA Euro qualification,Zagreb,Croatia,False
40429,2019-03-21,Slovakia,Hungary,2,0,UEFA Euro qualification,Trnava,Slovakia,False
40430,2019-03-21,Austria,Poland,0,1,UEFA Euro qualification,Vienna,Austria,False
40431,2019-03-21,North Macedonia,Latvia,3,1,UEFA Euro qualification,Skopje,North Macedonia,False
40432,2019-03-21,Israel,Slovenia,1,1,UEFA Euro qualification,Haifa,Israel,False
40433,2019-03-21,Cyprus,San Marino,5,0,UEFA Euro qualification,Nicosia,Cyprus,False
40434,2019-03-21,Belgium,Russia,3,1,UEFA Euro qualification,Brussels,Belgium,False
40435,2019-03-21,Kazakhstan,Scotland,3,0,UEFA Euro qualification,Nursultan,Kazakhstan,False
40442,2019-03-22,Bulgaria,Montenegro,1,1,UEFA Euro qualification,Sofia,Bulgaria,False
40443,2019-03-22,England,Czech Republic,5,0,UEFA Euro qualification,London,England,False
40444,2019-03-22,Portugal,Ukraine,0,0,UEFA Euro qualification,Lisbon,Portugal,False
40445,2019-03-22,Luxembourg,Lithuania,2,1,UEFA Euro qualification,Luxembourg City,Luxembourg,False
40446,2019-03-22,Albania,Turkey,0,2,UEFA Euro qualification,Shkodër,Albania,False
40447,2019-03-22,Andorra,Iceland,0,2,UEFA Euro qualification,Andorra la Vella,Andorra,False
40448,2019-03-22,Moldova,France,1,4,UEFA Euro qualification,Chișinău,Moldova,False
40449,2019-03-22,Botswana,Angola,0,1,African Cup of Nations qualification,Francistown,Botswana,False
40453,2019-03-23,Georgia,Switzerland,0,2,UEFA Euro qualification,Tbilisi,Georgia,False
40454,2019-03-23,Gibraltar,Republic of Ireland,0,1,UEFA Euro qualification,Gibraltar,Gibraltar,False
40455,2019-03-23,Malta,Faroe Islands,2,1,UEFA Euro qualification,Attard,Malta,False
40456,2019-03-23,Sweden,Romania,2,1,UEFA Euro qualification,Stockholm,Sweden,False
40457,2019-03-23,Spain,Norway,2,1,UEFA Euro qualification,Valencia,Spain,False
40458,2019-03-23,Bosnia and Herzegovina,Armenia,2,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
40459,2019-03-23,Italy,Finland,2,0,UEFA Euro qualification,Udine,Italy,False
40460,2019-03-23,Liechtenstein,Greece,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False
40461,2019-03-23,Senegal,Madagascar,2,0,African Cup of Nations qualification,Thiès,Senegal,False
40462,2019-03-23,Cameroon,Comoros,3,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
40463,2019-03-23,Mali,South Sudan,3,0,African Cup of Nations qualification,Bamako,Mali,False
40464,2019-03-23,Ghana,Kenya,1,0,African Cup of Nations qualification,Accra,Ghana,False
40465,2019-03-23,Niger,Egypt,1,1,African Cup of Nations qualification,Niamey,Niger,False
40466,2019-03-23,Zambia,Namibia,4,1,African Cup of Nations qualification,Lusaka,Zambia,False
40469,2019-03-24,Northern Ireland,Belarus,2,1,UEFA Euro qualification,Belfast,Northern Ireland,False
40470,2019-03-24,Netherlands,Germany,2,3,UEFA Euro qualification,Amsterdam,Netherlands,False
40471,2019-03-24,Wales,Slovakia,1,0,UEFA Euro qualification,Cardiff,Wales,False
40472,2019-03-24,Hungary,Croatia,2,1,UEFA Euro qualification,Budapest,Hungary,False
40473,2019-03-24,Israel,Austria,4,2,UEFA Euro qualification,Haifa,Israel,False
40474,2019-03-24,Poland,Latvia,2,0,UEFA Euro qualification,Warsaw,Poland,False
40475,2019-03-24,Slovenia,North Macedonia,1,1,UEFA Euro qualification,Ljubljana,Slovenia,False
40476,2019-03-24,San Marino,Scotland,0,2,UEFA Euro qualification,Serravalle,San Marino,False
40477,2019-03-24,Kazakhstan,Russia,0,4,UEFA Euro qualification,Nursultan,Kazakhstan,False
40478,2019-03-24,Cyprus,Belgium,0,2,UEFA Euro qualification,Nicosia,Cyprus,False
40479,2019-03-24,Benin,Togo,2,1,African Cup of Nations qualification,Cotonou,Benin,False
40480,2019-03-24,Libya,South Africa,1,2,African Cup of Nations qualification,Sfax,Tunisia,True
40481,2019-03-24,Zimbabwe,Congo,2,0,African Cup of Nations qualification,Harare,Zimbabwe,False
40482,2019-03-24,Central African Republic,Guinea,0,0,African Cup of Nations qualification,Bangui,Central African Republic,False
40483,2019-03-24,Tanzania,Uganda,3,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
40488,2019-03-25,Kosovo,Bulgaria,1,1,UEFA Euro qualification,Pristina,Kosovo,False
40489,2019-03-25,Montenegro,England,1,5,UEFA Euro qualification,Podgorica,Montenegro,False
40490,2019-03-25,Portugal,Serbia,1,1,UEFA Euro qualification,Lisbon,Portugal,False
40491,2019-03-25,Luxembourg,Ukraine,1,2,UEFA Euro qualification,Luxembourg City,Luxembourg,False
40492,2019-03-25,Turkey,Moldova,4,0,UEFA Euro qualification,Eskişehir,Turkey,False
40493,2019-03-25,Andorra,Albania,0,3,UEFA Euro qualification,Andorra la Vella,Andorra,False
40494,2019-03-25,France,Iceland,4,0,UEFA Euro qualification,Paris,France,False
40512,2019-03-26,Republic of Ireland,Georgia,1,0,UEFA Euro qualification,Dublin,Republic of Ireland,False
40513,2019-03-26,Switzerland,Denmark,3,3,UEFA Euro qualification,Basel,Switzerland,False
40514,2019-03-26,Malta,Spain,0,2,UEFA Euro qualification,Attard,Malta,False
40515,2019-03-26,Norway,Sweden,3,3,UEFA Euro qualification,Oslo,Norway,False
40516,2019-03-26,Romania,Faroe Islands,4,1,UEFA Euro qualification,Cluj-Napoca,Romania,False
40517,2019-03-26,Bosnia and Herzegovina,Greece,2,2,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False
40518,2019-03-26,Italy,Liechtenstein,6,0,UEFA Euro qualification,Parma,Italy,False
40519,2019-03-26,Armenia,Finland,0,2,UEFA Euro qualification,Yerevan,Armenia,False
40520,2019-04-20,Botswana,Seychelles,2,0,African Nations Championship,Lobatse,Botswana,False
40521,2019-04-20,Eswatini,Malawi,0,0,African Nations Championship,Manzini,Eswatini,False
40523,2019-05-11,Malawi,Eswatini,1,1,African Nations Championship,Blantyre,Malawi,False
